lemma,uri
abaestumo,a0010
abaestuo,43997
abaeto,101359
abago,101361
abalieno,a0015
abambulo,a0018
abarceo,a0021
abarguo,a0022
abarguo,a0022
abbaeto,101366
abbito,101367
abblandior,132803
abbo,a0027
abbreuio,a0030
abcido,97485
abdico,a0035
abdico,a0034
abdo,a0038
abduco,a0040
abemo,a0042
abeo,a0043
abequito,a0044
aberceo,47255
aberro,a0046
abfero,49858
abfluo,57225
abfugio,51263
abgrego,a0047
abhibeo,a0048
abhorreo,a0050
abhorresco,a0050
abhortor,a0052
abicio,a0053
abico,50395
abiecto,47171
abigeo,a0061
abigo,a0063
abiicio,97488
abito,a0066
abiudico,a0067
abiugo,a0068
abiungo,a0069
abiurgo,a0072
abiuro,a0073
ablacto,a0075
ablacuo,48542
ablaqueo,a0077
ablauo,a0105
ablego,$0149
ableuo,a0085
abligurio,30927
abligurrio,a0086
ablingo,a0089
abloco,a0090
abludo,a0091
abluo,a9091
abnato,a0097
abnego,a0101
abnocto,a0104
abnodo,42789
abnueo,a0111
abnumero,a0110
abnuo,a0111
abnuto,a0113
abolefacio,a0114
abolefio,a0144
aboleo,a0116
abolesco,a1752
abomino,31810
abominor,a0122
aborior,a0125
aborisco,54991
aboriscor,a1874
abortio,a0127
aborto,a0130
abrado,a0133
abrelego,a0136
abrelinquo,101419
abrenuntio,a0139
abripio,a0140
abrodo,a0141
abrogo,a0143
abrumpo,a0145
abscedo,a0147
abscido,a0149
abscindo,a0150
abscondeo,46614
abscondo,a0155
absentio,101439
absento,a0162
absigno,a0164
absilio,a0165
absisto,a0169
absoleo,a0172
absolesco,101444
absoluo,a0178
absono,a0179
absorbeo,a0181
abspello,101452
absporto,101453
abstergeo,a0187
abstergo,a2302
absterno,101457
absterreo,a0188
abstineo,a0191
absto,a0192
abstollo,a0193
abstraho,a0195
abstrudo,a0196
abstruo,101462
abstulo,a0199
absum,a0200
absumo,a0202
abtorqueo,a0209
abueho,101468
abuerto,101469
abundo,a0212
abuto,101474
abutor,a0217
accado,101483
accano,a9959
accantito,a0237
accanto,a0238
accapito,35548
accedo,a0268
accelero,a0243
accendo,a0245
accenseo,a0247
accento,51810
acceo,41768
acceptito,a0257
accepto,a0258
accersio,43123
accerso,35219
accessito,a0266
accido,a0268
accido,a0269
accidt,36325
accieo,a9270
accingo,a0272
accino,a0236
accio,a0274
accipio,a0275
accipitro,a0278
accito,a0281
acclamito,101514
acclamo,a0283
acclaro,a0284
acclino,a0288
accludo,55461
accognosco,a0291
accolo,a0294
accommodo,a0298
accomodo,132148
accomodo,32911
accongero,101522
accordo,49088
